jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-18-3407-LUSC.svs | ep 20 | R=1.323 | zoom=0.67 | lambda=0.840 | eps=0.910
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3408-LUSC.svs | ep 1 | R=1.320 | zoom=0.67 | lambda=0.842 | eps=0.908
TCGA-18-3408-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.837 | eps=0.908
TCGA-18-3408-LUSC.svs | ep 3 | R=1.327 | zoom=0.67 | lambda=0.838 | eps=0.907
TCGA-18-3408-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.833 | eps=0.906
TCGA-18-3408-LUSC.svs | ep 5 | R=1.167 | zoom=0.50 | lambda=0.833 | eps=0.905
TCGA-18-3408-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.828 | eps=0.905
TCGA-18-3408-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.823 | eps=0.904
TCGA-18-3408-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.818 | eps=0.904
TCGA-18-3408-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.813 | eps=0.903
TCGA-18-3408-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.808 | eps=0.903
TCGA-18-3408-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.803 | eps=0.903
TCGA-18-3408-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.798 | eps=0.902
TCGA-18-3408-LUSC.svs | ep 13 | R=1.202 | zoom=0.50 | lambda=0.798 | eps=0.901
TCGA-18-3408-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.793 | eps=0.901
TCGA-18-3408-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.788 | eps=0.900
TCGA-18-3408-LUSC.svs | ep 16 | R=1.212 | zoom=0.50 | lambda=0.788 | eps=0.899
TCGA-18-3408-LUSC.svs | ep 17 | R=1.212 | zoom=0.50 | lambda=0.788 | eps=0.899
TCGA-18-3408-LUSC.svs | ep 18 | R=1.212 | zoom=0.50 | lambda=0.788 | eps=0.898
TCGA-18-3408-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.783 | eps=0.897
TCGA-18-3408-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.778 | eps=0.897
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3410-LUSC.svs | ep 1 | R=0.887 | zoom=1.00 | lambda=0.783 | eps=0.895
TCGA-18-3410-LUSC.svs | ep 2 | R=1.217 | zoom=0.50 | lambda=0.783 | eps=0.894
TCGA-18-3410-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.778 | eps=0.894
TCGA-18-3410-LUSC.svs | ep 4 | R=0.887 | zoom=1.00 | lambda=0.783 | eps=0.892
TCGA-18-3410-LUSC.svs | ep 5 | R=1.217 | zoom=0.50 | lambda=0.783 | eps=0.891
TCGA-18-3410-LUSC.svs | ep 6 | R=1.650 | zoom=0.75 | lambda=0.786 | eps=0.889
TCGA-18-3410-LUSC.svs | ep 7 | R=0.857 | zoom=1.00 | lambda=0.791 | eps=0.887
TCGA-18-3410-LUSC.svs | ep 8 | R=1.209 | zoom=0.50 | lambda=0.791 | eps=0.886
TCGA-18-3410-LUSC.svs | ep 9 | R=1.418 | zoom=0.67 | lambda=0.793 | eps=0.885
TCGA-18-3410-LUSC.svs | ep 10 | R=1.207 | zoom=0.50 | lambda=0.793 | eps=0.884
TCGA-18-3410-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.788 | eps=0.884
TCGA-18-3410-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.783 | eps=0.883
TCGA-18-3410-LUSC.svs | ep 13 | R=1.217 | zoom=0.50 | lambda=0.783 | eps=0.882
TCGA-18-3410-LUSC.svs | ep 14 | R=1.217 | zoom=0.50 | lambda=0.783 | eps=0.882
TCGA-18-3410-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.778 | eps=0.881
TCGA-18-3410-LUSC.svs | ep 16 | R=1.222 | zoom=0.50 | lambda=0.778 | eps=0.880
TCGA-18-3410-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.773 | eps=0.880
TCGA-18-3410-LUSC.svs | ep 18 | R=0.910 | zoom=1.00 | lambda=0.778 | eps=0.878
TCGA-18-3410-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.773 | eps=0.878
TCGA-18-3410-LUSC.svs | ep 20 | R=1.227 | zoom=0.50 | lambda=0.773 | eps=0.877
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3412-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.768 | eps=0.876
