jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-18-3408-LUSC.svs | ep 11 | R=1.108 | zoom=0.67 | lambda=0.954 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.929 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 13 | R=1.071 | zoom=0.50 | lambda=0.929 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 14 | R=1.071 | zoom=0.50 | lambda=0.929 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.904 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.879 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 17 | R=1.121 | zoom=0.50 | lambda=0.879 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.854 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.829 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 20 | R=0.512 | zoom=1.00 | lambda=0.854 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3410-LUSC.svs | ep 1 | R=1.146 | zoom=0.50 | lambda=0.854 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.829 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 3 | R=1.512 | zoom=0.75 | lambda=0.842 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 4 | R=1.158 | zoom=0.50 | lambda=0.842 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 5 | R=1.317 | zoom=0.67 | lambda=0.850 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 6 | R=1.450 | zoom=0.75 | lambda=0.863 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.838 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 8 | R=1.162 | zoom=0.50 | lambda=0.838 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.813 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 10 | R=1.187 | zoom=0.50 | lambda=0.813 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.788 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 12 | R=1.425 | zoom=0.67 | lambda=0.796 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.771 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 14 | R=1.458 | zoom=0.67 | lambda=0.779 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.754 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.729 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.704 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 18 | R=1.296 | zoom=0.50 | lambda=0.704 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.679 | eps=1.000
TCGA-18-3410-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.654 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3412-LUSC.svs | ep 1 | R=1.346 | zoom=0.50 | lambda=0.654 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.629 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.604 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 4 | R=1.396 | zoom=0.50 | lambda=0.604 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.579 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 6 | R=1.421 | zoom=0.50 | lambda=0.579 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.554 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 8 | R=1.446 | zoom=0.50 | lambda=0.554 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 9 | R=2.337 | zoom=0.75 | lambda=0.567 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 10 | R=1.433 | zoom=0.50 | lambda=0.567 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.542 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 12 | R=1.458 | zoom=0.50 | lambda=0.542 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.517 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 14 | R=1.967 | zoom=0.67 | lambda=0.525 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 15 | R=1.950 | zoom=0.67 | lambda=0.533 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.508 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.483 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.458 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 19 | R=2.625 | zoom=0.75 | lambda=0.471 | eps=1.000
TCGA-18-3412-LUSC.svs | ep 20 | R=1.529 | zoom=0.50 | lambda=0.471 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3414-LUSC.svs | ep 1 | R=2.587 | zoom=0.75 | lambda=0.483 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.458 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.433 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.408 | eps=1.000
